"";"Version..0...Fixed.Task.";"Task";"Concept";"Att.1...Doppelseitiges.Drucken";"Att.2...Scan.Funktion";"Att.3...Eco.Modus";"Att.4...Kosten.pro.Seite..in.cent.";"Att.5...Heft..und.Lochfunktion";"Att.6...Sterne.Bewertung.von.1..schlecht..bis.5..gut.";"Att.7...Preis"
"394";9;1;2;1;1;1;2;2;1;3
"395";9;1;3;1;2;1;1;1;1;1
"396";9;1;4;1;2;2;1;1;4;3
"397";9;2;1;2;1;2;1;2;1;2
"398";9;2;2;2;1;1;1;2;1;2
"399";9;2;3;2;1;1;1;1;1;1
"400";9;2;4;1;2;1;3;1;1;3
"401";9;3;1;1;1;1;3;1;3;1
"402";9;3;2;1;2;2;1;1;2;4
"403";9;3;3;2;2;2;2;2;1;1
"404";9;3;4;1;2;1;3;2;1;4
"405";9;4;1;1;2;1;2;2;3;5
"406";9;4;2;2;1;1;2;2;1;3
"407";9;4;3;2;2;2;1;2;1;4
"408";9;4;4;2;2;2;2;1;1;3
"409";9;5;1;1;2;2;1;2;3;3
"410";9;5;2;1;1;1;2;2;4;5
"411";9;5;3;2;1;2;1;2;3;5
"412";9;5;4;1;2;2;1;1;4;2
"413";9;6;1;2;2;2;2;1;4;3
"414";9;6;2;2;2;2;3;2;2;1
"415";9;6;3;1;1;2;2;2;3;2
"416";9;6;4;1;2;2;3;1;3;1
"417";9;7;1;2;1;1;3;2;1;2
"418";9;7;2;2;1;2;3;2;4;1
"419";9;7;3;2;2;1;1;2;2;5
"420";9;7;4;2;2;2;3;1;1;1
"421";9;8;1;1;1;1;3;1;2;3
"422";9;8;2;2;2;1;2;2;4;3
"423";9;8;3;1;2;1;2;2;1;4
"424";9;8;4;1;2;2;1;1;1;5
"425";9;9;1;2;1;1;3;1;3;1
"426";9;9;2;1;2;1;3;2;4;4
"427";9;9;3;2;1;1;2;1;1;5
"428";9;9;4;1;1;2;3;2;4;3
"429";9;10;1;1;1;2;2;1;1;3
"430";9;10;2;1;1;2;2;2;4;5
"431";9;10;3;1;2;2;2;2;3;4
"432";9;10;4;1;2;2;3;2;4;3
"433";9;11;1;1;1;1;2;1;3;1
"434";9;11;2;2;2;1;3;2;1;3
"435";9;11;3;2;1;1;2;2;4;2
"436";9;11;4;1;2;2;3;1;4;1
"437";9;12;1;1;1;1;2;1;1;1
"438";9;12;2;2;2;2;3;1;2;2
"439";9;12;3;2;1;1;2;2;2;2
"440";9;12;4;1;1;1;1;1;4;1
"441";10;1;1;2;1;1;3;2;3;5
"442";10;1;2;2;1;1;3;1;1;4
"443";10;1;3;1;2;2;3;2;2;1
"444";10;1;4;1;2;1;3;1;3;4
"445";10;2;1;1;1;1;2;1;2;2
"446";10;2;2;2;1;2;3;2;2;3
"447";10;2;3;2;1;1;2;1;3;4
"448";10;2;4;2;2;1;3;1;4;5
"449";10;3;1;2;2;1;1;2;3;4
"450";10;3;2;2;1;1;3;1;3;2
"451";10;3;3;1;2;1;3;1;1;3
"452";10;3;4;1;1;1;3;2;2;1
